"","adpf","ajuizamento","assunto","ano"
"1",561,2019-01-02,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","2019"
"2",561,2019-01-02,"Controle de Constitucionalidade","2019"
"3",561,2019-01-02,"Organização Político-administrativa / Administração Pública","2019"
"4",562,2019-01-14,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","2019"
"5",562,2019-01-14,"Organização Político-administrativa / Administração Pública","2019"
"6",562,2019-01-14,"Controle de Constitucionalidade","2019"
"7",563,2019-01-14,"DIREITO PENAL","2019"
"8",563,2019-01-14,"Contravenções Penais","2019"
"9",563,2019-01-14,"Jogo de azar","2019"
"10",563,2019-01-14,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","2019"
"11",563,2019-01-14,"Controle de Constitucionalidade","2019"
"12",564,2019-01-21,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","2019"
"13",564,2019-01-21,"Agentes Políticos","2019"
"14",564,2019-01-21,"Ministério Público","2019"
"15",564,2019-01-21,"Remuneração","2019"
"16",564,2019-01-21,"Servidor Público Civil","2019"
"17",564,2019-01-21,"Sistema Remuneratório e Benefícios","2019"
"18",564,2019-01-21,"Subsídios","2019"
"19",565,2019-02-25,"DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF","2019"
"20",565,2019-02-25,"Mandato","2019"
"21",565,2019-02-25,"Impugnação de mandato eletivo","2019"
"22",566,2019-02-26,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","2019"
"23",566,2019-02-26,"Controle de Constitucionalidade","2019"
"24",566,2019-02-26,"Serviços","2019"
"25",566,2019-02-26,"Concessão / Permissão / Autorização","2019"
"26",566,2019-02-26,"Transporte Terrestre","2019"
"27",567,2019-02-28,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","2019"
"28",567,2019-02-28,"Controle de Constitucionalidade","2019"
"29",568,2019-03-12,"QUESTÕES DE ALTA COMPLEXIDADE, GRANDE IMPACTO E REPERCUSSÃO","2019"
"30",568,2019-03-12,"COVID-19","2019"
"31",568,2019-03-12,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","2019"
"32",568,2019-03-12,"Controle de Constitucionalidade","2019"
"33",569,2019-03-13,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","2019"
"34",569,2019-03-13,"Controle de Constitucionalidade","2019"
"35",570,2019-03-14,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","2019"
"36",570,2019-03-14,"Controle de Constitucionalidade","2019"
"37",570,2019-03-14,"DIREITO PROCESSUAL PENAL","2019"
"38",570,2019-03-14,"Execução Penal e de Medidas Alternativas","2019"
"39",570,2019-03-14,"Execução Penal Provisória - Cabimento","2019"
"40",571,2019-03-19,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","2019"
"41",571,2019-03-19,"Controle de Constitucionalidade","2019"
"42",571,2019-03-19,"Militar","2019"
"43",571,2019-03-19,"Sistema Remuneratório e Benefícios","2019"
"44",572,2019-03-25,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","2019"
"45",572,2019-03-25,"Controle de Constitucionalidade","2019"
"46",572,2019-03-25,"DIREITO PROCESSUAL PENAL","2019"
"47",572,2019-03-25,"Investigação Penal","2019"
"48",573,2019-03-25,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","2019"
"49",573,2019-03-25,"Controle de Constitucionalidade","2019"
"50",573,2019-03-25,"Servidor Público Civil","2019"
"51",573,2019-03-25,"Regime Estatutário","2019"
