"","ADPF","Data","Nome","Julgador","Decisao"
"1",561,"26/10/2020","Agravo regimental não provido","TRIBUNAL PLENO - SESSÃO VIRTUAL","Decisão: O Tribunal, por maioria, negou provimento ao agravo regimental, nos termos do voto do Relator, vencido o Ministro Marco Aurélio. Não participou deste julgamento a Ministra Rosa Weber. Plenário, Sessão Virtual de 16.10.2020 a 23.10.2020."
"2",561,"05/10/2020","Inclua-se em pauta - minuta extraída","TRIBUNAL PLENO - SESSÃO VIRTUAL","Julgamento Virtual: ADPF-AgR. Incluído na Lista 279-2020.RL - Agendado para: 16/10/2020."
"3",561,"09/01/2019","Negado seguimento","PRESIDÊNCIA","Nego seguimento à ação, por evidente ilegitimidade ativa da requerente."
"4",562,"31/05/2019","Embargos recebidos como agravo regimental desde logo não provido","TRIBUNAL PLENO - SESSÃO VIRTUAL","Decisão: O Tribunal, por maioria, converteu os embargos de declaração em agravo regimental, vencido o Ministro Marco Aurélio. Por unanimidade, negou provimento ao recurso, nos termos do voto do Relator, com ressalvas do Ministro Marco Aurélio. Plenário, Sessão Virtual de 24.5.2019 a 30.5.2019."
"5",562,"14/05/2019","Inclua-se em pauta - minuta extraída","TRIBUNAL PLENO - SESSÃO VIRTUAL","Julgamento Virtual: ADPF-ED - Agendado para: 24/05/2019."
"6",562,"21/02/2019","Extinto o processo","MIN. RICARDO LEWANDOWSKI","""(...) Isso posto, em face da manifesta ilegitimidade ad causam da
requerente, e por faltar-lhe o requisito legal da subsidiariedade, julgo
extinta esta ação de descumprimento de preceito fundamental, sem
resolução de mérito (RISTF, art. 21, § 1º). Prejudicado o pedido liminar."""
"7",563,"04/03/2021","Extinto o processo","MIN. EDSON FACHIN","em 03.03.2021: ""(...)com fundamento no art. 4º, caput, e §1º da Lei n.
9.882/1999 e 21, §1º, do RISTF, julgo extinta a presente arguição de
descumprimento de preceito fundamental. Prejudicado o pedido liminar.
Publique-se. Intime-se."""
"8",563,"02/03/2021","Deferido","MIN. EDSON FACHIN","em 02.03.2021: ""(...) com base no disposto no art. 7º, § 2º, da Lei n.
9.868/199, aqui aplicável por analogia, e o art. 138, caput, do CPC, admito o Instituo Brasileiro Jogo Legal – IBLJ como amicus curiae.
À Secretaria para as anotações necessárias.
Publique-se. Intime-se."""
"9",563,"26/02/2021","Indeferido","MIN. EDSON FACHIN","DESPACHO: Trata-se de pedido de ingresso como amicus curiae formulado pelo Instituto Brasileiro Jogo Legal – IBJL (eDOC 33).
O requerente informa possuir como finalidade “produzir e estimular estudos e pesquisas sobre jogos, loterias, concursos de prognósticos, sorteios e entretenimento.”. 
No entanto, apesar de ter apresentado procuração (eDOC 34), o Instituto não juntou aos autos Estatuto específico e tampouco documento que comprove a condição de representante do signatário da procuração.
Por essa razão, indefiro o pedido. 

Publique-se. Intimem-se.
Brasília, 26 de fevereiro de 2021."
"10",564,"13/02/2019","Não conhecido(s)","MIN. RICARDO LEWANDOWSKI","em 12.2.2019 ""(...)            
Isso posto, por faltar-lhe o requisito legal da subsidiariedade, não conheço desta ação (art. 4°, § 1°, da Lei 9.882/1999). Prejudicado o pedido liminar.
        
Publique-se."""
"11",565,"24/06/2019","Embargos rejeitados","TRIBUNAL PLENO - SESSÃO VIRTUAL","Decisão: O Tribunal, por unanimidade, rejeitou os embargos de declaração, nos termos do voto do Relator. Plenário, Sessão Virtual de 14.6.2019 a 21.6.2019."
"12",565,"04/06/2019","Inclua-se em pauta - minuta extraída","TRIBUNAL PLENO - SESSÃO VIRTUAL","Julgamento Virtual: ADPF-AgR-ED - Agendado para: 14/06/2019."
"13",565,"17/05/2019","Agravo regimental não provido","TRIBUNAL PLENO - SESSÃO VIRTUAL","Decisão: O Tribunal, por unanimidade, negou provimento ao agravo regimental, nos termos do voto do Relator. Plenário, Sessão Virtual de 10.5.2019 a 16.5.2019."
"14",565,"29/04/2019","Inclua-se em pauta - minuta extraída","TRIBUNAL PLENO - SESSÃO VIRTUAL","Julgamento Virtual: ADPF-AgR - Agendado para: 10/05/2019."
"15",565,"28/02/2019","Negado seguimento","MIN. RICARDO LEWANDOWSKI","Em 27/2/2019: ""(...) Isso posto, nego seguimento à ação (art. 4° da Lei 9.882/1999 e art. 21, § 1°, do RISTF).

Publique-se."""
"16",566,"23/08/2019","Agravo regimental não provido","TRIBUNAL PLENO - SESSÃO VIRTUAL","Decisão: O Tribunal, por unanimidade, negou provimento ao agravo, nos termos do voto do Relator. O Ministro Edson Fachin acompanhou o Relator com ressalvas. Não participou deste julgamento, por motivo de licença médica, o Ministro Celso de Mello. Plenário, Sessão Virtual de 16.8.2019 a 22.8.2019."
"17",566,"05/08/2019","Inclua-se em pauta - minuta extraída","TRIBUNAL PLENO - SESSÃO VIRTUAL","Julgamento Virtual: ADPF-AgR. Incluído na Lista 31-2019.LF - Agendado para: 16/08/2019."
"18",566,"08/03/2019","Não conhecido(s)","MIN. LUIZ FUX","""[...] NÃO CONHEÇO a presente arguição de descumprimento de preceito fundamental, com fundamento no artigo 4º da Lei federal 9.882/1999 e no artigo 21, § 1º, do RISTF. Resta prejudicado o pedido de medida cautelar. Publique-se."""
"19",567,"01/03/2021","Improcedente","TRIBUNAL PLENO - SESSÃO VIRTUAL","Decisão: O Tribunal, por maioria, julgou improcedente a arguição de descumprimento de preceito fundamental, nos termos do voto do Relator, vencido o Ministro Edson Fachin. Plenário, Sessão Virtual de 19.2.2021 a 26.2.2021."
"20",567,"05/02/2021","Vista - Devolução dos autos para julgamento","MIN. GILMAR MENDES","05/02/2021 13:16:16 - Julgamento Virtual: ADPF. Incluído na Lista 173-2020.AM - Agendado para: 19/02/2021."
"21",567,"05/02/2021","Incluído na lista de julgamento","MIN. GILMAR MENDES","Julgamento Virtual: ADPF. Incluído na Lista 173-2020.AM - Agendado para: 19/02/2021."
