"","ADPF","Ajuizamento","Assunto"
"1",561,"02/01/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Organização Político-administrativa / Administração Pública"
"2",562,"14/01/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Organização Político-administrativa / Administração Pública
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade"
"3",563,"14/01/2019","DIREITO PENAL | Contravenções Penais | Jogo de azar
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade"
"4",564,"21/01/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Agentes Políticos | Ministério Público | Remuneração
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Servidor Público Civil | Sistema Remuneratório e Benefícios | Subsídios"
"5",565,"25/02/2019","DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF | Mandato | Impugnação de mandato eletivo"
"6",566,"26/02/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Serviços | Concessão / Permissão / Autorização | Transporte Terrestre"
"7",567,"28/02/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade"
"8",568,"12/03/2019","QUESTÕES DE ALTA COMPLEXIDADE, GRANDE IMPACTO E REPERCUSSÃO | COVID-19
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade"
"9",569,"13/03/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade"
"10",570,"14/03/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade
                        
                            DIREITO PROCESSUAL PENAL | Execução Penal e de Medidas Alternativas | Execução Penal Provisória - Cabimento"
"11",571,"19/03/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Militar | Sistema Remuneratório e Benefícios"
"12",572,"25/03/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade
                        
                            DIREITO PROCESSUAL PENAL | Investigação Penal"
"13",573,"25/03/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Servidor Público Civil | Regime Estatutário"
"14",574,"28/03/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Serviços | Concessão / Permissão / Autorização | Transporte Terrestre"
"15",575,"02/04/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Organização Sindical | Contribuição Sindical
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade"
"16",576,"11/04/2019","DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF | Mandato | Perda do mandato
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade"
"17",577,"12/04/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Serviços | Concessão / Permissão / Autorização | Transporte Terrestre"
"18",578,"12/04/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Garantias Constitucionais"
"19",579,"24/04/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade
                        
                            DIREITO PROCESSUAL PENAL | Execução Penal e de Medidas Alternativas"
"20",580,"04/05/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Domínio Público | Bens Públicos | Bloqueio de Valores de Contas Públicas
                        
                            DIREITO PROCESSUAL CIVIL E DO TRABALHO | Liquidação / Cumprimento / Execução de Sentença | Precatório"
"21",581,"08/05/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Atos Administrativos | Licenças | Registro / Porte de arma de fogo"
"22",582,"14/05/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Serviços | Ensino Superior
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Orçamento"
"23",583,"15/05/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Orçamento
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Serviços | Ensino Superior"
"24",584,"17/05/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade"
"25",585,"21/05/2019","DIREITO PROCESSUAL CIVIL E DO TRABALHO | Liquidação / Cumprimento / Execução de Sentença | Precatório 
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Domínio Público | Bens Públicos | Bloqueio de Valores de Contas Públicas"
"26",586,"23/05/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Atos Administrativos | Licenças | Registro / Porte de arma de fogo"
"27",587,"27/05/2019","DIREITO PROCESSUAL CIVIL E DO TRABALHO | Liquidação / Cumprimento / Execução de Sentença | Precatório"
