"","ADPF","Tipo","Parte"
"1",561,"REQTE.(S)","FEDERACAO NACIONAL DOS ADVOGADOS"
"2",561,"ADV.(A/S)","DOMINIQUE SANDER LEAL GUERRA (104564/RJ)"
"3",561,"INTDO.(A/S)","PRESIDENTE DA REPÚBLICA"
"4",561,"PROC.(A/S)(ES)","ADVOGADO-GERAL DA UNIÃO"
"5",562,"REQTE.(S)","CONFEDERACAO NACIONAL DAS PROFISSOES LIBERAIS"
"6",562,"ADV.(A/S)","DOMINIQUE SANDER LEAL GUERRA (104564/RJ)"
"7",562,"INTDO.(A/S)","PRESIDENTE DA REPÚBLICA"
"8",562,"PROC.(A/S)(ES)","ADVOGADO-GERAL DA UNIÃO"
"9",563,"REQTE.(S)","PARTIDO HUMANISTA DA SOLIDARIEDADE"
"10",563,"ADV.(A/S)","JOAO CALDAS DA SILVA (57515/DF, 50448/GO)"
"11",563,"INTDO.(A/S)","PRESIDENTE DA REPÚBLICA"
"12",563,"PROC.(A/S)(ES)","ADVOGADO-GERAL DA UNIÃO"
"13",563,"AM. CURIAE.","CONFEDERAÇÃO NACIONAL DOS TRABALHADORES EM TURISMO E HOSPITALIDADE - CONTRATUH"
"14",563,"ADV.(A/S)","AGILBERTO SERÓDIO (10765/DF)"
"15",563,"ADV.(A/S)","SAMUEL DA SILVA ANTUNES (21795/DF)"
"16",563,"AM. CURIAE.","PARTIDO DA MOBILIZACAO NACIONAL"
"17",563,"ADV.(A/S)","JOAO CALDAS DA SILVA (57515/DF, 50448/GO)"
"18",563,"AM. CURIAE.","INSTITUTO BRASILEIRO JOGO LEGAL - IBJL"
"19",563,"ADV.(A/S)","REGIS FERNANDES DE OLIVEIRA (122427/SP)"
"20",563,"ADV.(A/S)","ROGÉRIO DE MENEZES CORIGLIANO (139495/SP)"
"21",563,"ADV.(A/S)","MARIA ELISABETH DE MENEZES CORIGLIANO (57519/SP)"
"22",564,"REQTE.(S)","GOVERNADOR DO ESTADO DO RIO GRANDE DO SUL"
"23",564,"PROC.(A/S)(ES)","PROCURADOR-GERAL DO ESTADO DO RIO GRANDE DO SUL"
"24",564,"INTDO.(A/S)","CONSELHO NACIONAL DE JUSTIÇA - CNJ"
"25",564,"PROC.(A/S)(ES)","ADVOGADO-GERAL DA UNIÃO"
"26",564,"INTDO.(A/S)","CONSELHO NACIONAL DO MINISTÉRIO PÚBLICO"
"27",564,"PROC.(A/S)(ES)","ADVOGADO-GERAL DA UNIÃO"
"28",564,"INTDO.(A/S)","MINISTÉRIO PÚBLICO DO ESTADO DO RIO GRANDE DO SUL"
"29",564,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"30",564,"INTDO.(A/S)","TRIBUNAL DE JUSTIÇA DO ESTADO DO RIO GRANDE DO SUL"
"31",564,"PROC.(A/S)(ES)","PROCURADOR-GERAL DE JUSTIÇA DO ESTADO DO RIO GRANDE DO SUL"
"32",565,"REQTE.(S)","ASSOCIACAO DOS SERVIDORES DA SEGURANCA PUBLICA E PRIVADA DO BRASIL"
"33",565,"ADV.(A/S)","FABIO MARQUES DOS SANTOS (45142/GO)"
"34",565,"INTDO.(A/S)","TRIBUNAL SUPERIOR ELEITORAL"
"35",565,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"36",565,"INTDO.(A/S)","TRIBUNAIS REGIONAIS ELEITORAIS"
"37",565,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
"38",566,"REQTE.(S)","ASSOCIACAO DOS SERVIDORES DA SEGURANCA PUBLICA E PRIVADA DO BRASIL"
"39",566,"ADV.(A/S)","FABIO MARQUES DOS SANTOS (45142/GO)"
"40",566,"ADV.(A/S)","JOAO VICTOR TEIXEIRA AMERICO (52430/GO)"
"41",566,"ADV.(A/S)","TATIANA BASSO PARREIRA (38154/GO)"
"42",566,"INTDO.(A/S)","PREFEITO DO MUNICÍPIO DE FORMOSA"
"43",566,"ADV.(A/S)","PROCURADOR-GERAL DO MUNICÍPIO DE FORMOSA"
"44",567,"REQTE.(S)","ASSOCIACAO BRASILEIRA DE PIROTECNIA"
"45",567,"ADV.(A/S)","CRISTIANE ROMANO FARHAT FERRAZ (1503/A/DF, 103868/MG, 123771/SP)"
"46",567,"ADV.(A/S)","CRISTIANE ROMANO FARHAT FERRAZ (29323/BA, 01503/A/DF, 103868/MG, 223511/RJ, 123771/SP)"
"47",567,"ADV.(A/S)","DANIELLA ZAGARI GONCALVES (28473/BA, 181728/RJ, 77140A/RS, 116343/SP)"
"48",567,"ADV.(A/S)","JOAO VITOR LUKE REIS (24837/DF, 349851/SP)"
"49",567,"ADV.(A/S)","DANIELLA ZAGARI GONCALVES (116343/SP)"
"50",567,"INTDO.(A/S)","PREFEITO DO MUNICÍPIO DE SÃO PAULO"
"51",567,"PROC.(A/S)(ES)","PROCURADOR-GERAL DO MUNICÍPIO DE SÃO PAULO"
"52",567,"INTDO.(A/S)","CÂMARA MUNICIPAL DE SÃO PAULO"
"53",567,"ADV.(A/S)","MARIA NAZARE LINS BARBOSA (106017/SP)"
"54",567,"ADV.(A/S)","FERNANDA DE PIERI MIELLI FRANCO LIMA (287482/SP)"
"55",567,"ADV.(A/S)","JOSE LUIZ LEVY (67816/SP)"
"56",568,"REQTE.(S)","PROCURADORA-GERAL DA REPÚBLICA"
"57",568,"INTDO.(A/S)","JUÍZA FEDERAL DA 13ª VARA FEDERAL DE CURITIBA"
"58",568,"ADV.(A/S)","SEM REPRESENTAÇÃO NOS AUTOS"
