"","ADPF","Relator"
"1",561,"RICARDO LEWANDOWSKI"
"2",562,"RICARDO LEWANDOWSKI"
"3",563,"EDSON FACHIN"
"4",564,"RICARDO LEWANDOWSKI"
"5",565,"RICARDO LEWANDOWSKI"
"6",566,"LUIZ FUX"
"7",567,"ALEXANDRE DE MORAES"
"8",568,"ALEXANDRE DE MORAES"
"9",569,"ALEXANDRE DE MORAES"
"10",570,"MARCO AURÉLIO"
"11",571,"GILMAR MENDES"
"12",572,"EDSON FACHIN"
"13",573,"ROBERTO BARROSO"
"14",574,"EDSON FACHIN"
"15",575,"LUIZ FUX"
"16",576,"GILMAR MENDES"
"17",577,"CÁRMEN LÚCIA"
"18",578,"LUIZ FUX"
"19",579,"EDSON FACHIN"
"20",580,"CELSO DE MELLO"
"21",581,"ROSA WEBER"
"22",582,"CELSO DE MELLO"
"23",583,"CELSO DE MELLO"
"24",584,"ALEXANDRE DE MORAES"
"25",585,"MARCO AURÉLIO"
"26",586,"ROSA WEBER"
"27",587,"CELSO DE MELLO"
"28",588,"ROBERTO BARROSO"
"29",589,"EDSON FACHIN"
"30",590,"LUIZ FUX"
"31",591,"RICARDO LEWANDOWSKI"
"32",592,"LUIZ FUX"
"33",593,"LUIZ FUX"
"34",594,"EDSON FACHIN"
"35",595,"CELSO DE MELLO"
"36",596,"ROSA WEBER"
"37",597,"MARCO AURÉLIO"
"38",598,"RICARDO LEWANDOWSKI"
"39",599,"ANDRÉ MENDONÇA"
"40",600,"ROBERTO BARROSO"
"41",601,"GILMAR MENDES"
"42",602,"RICARDO LEWANDOWSKI"
"43",603,"DIAS TOFFOLI"
"44",604,"GILMAR MENDES"
"45",605,"DIAS TOFFOLI"
"46",606,"GILMAR MENDES"
"47",607,"DIAS TOFFOLI"
"48",608,"ALEXANDRE DE MORAES"
"49",609,"CELSO DE MELLO"
"50",610,"LUIZ FUX"
"51",611,"GILMAR MENDES"
"52",612,"RICARDO LEWANDOWSKI"
"53",613,"ROSA WEBER"
"54",614,"CÁRMEN LÚCIA"
"55",615,"ROBERTO BARROSO"
"56",616,"ROBERTO BARROSO"
"57",617,"ALEXANDRE DE MORAES"
"58",618,"NUNES MARQUES"
"59",619,"ROSA WEBER"
"60",620,"ROBERTO BARROSO"
"61",621,"CÁRMEN LÚCIA"
"62",622,"ROBERTO BARROSO"
"63",623,"ROSA WEBER"
"64",624,"CELSO DE MELLO"
"65",625,"CÁRMEN LÚCIA"
"66",626,"RICARDO LEWANDOWSKI"
"67",627,"ROBERTO BARROSO"
"68",628,"CÁRMEN LÚCIA"
"69",629,"ALEXANDRE DE MORAES"
"70",630,"CÁRMEN LÚCIA"
"71",631,"GILMAR MENDES"
"72",632,"GILMAR MENDES"
"73",633,"GILMAR MENDES"
"74",634,"CÁRMEN LÚCIA"
"75",635,"EDSON FACHIN"
"76",636,"MARCO AURÉLIO"
"77",637,"ROBERTO BARROSO"
"78",638,"RICARDO LEWANDOWSKI"
"79",639,"RICARDO LEWANDOWSKI"
"80",640,"GILMAR MENDES"
"81",641,"ROSA WEBER"
"82",642,"EDSON FACHIN"
"83",643,"ROSA WEBER"
"84",644,"ROSA WEBER"
"85",645,"GILMAR MENDES"
"86",646,"LUIZ FUX"
"87",647,"CÁRMEN LÚCIA"
"88",648,"CÁRMEN LÚCIA"
"89",649,"LUIZ FUX"
"90",650,"CÁRMEN LÚCIA"
"91",651,"CÁRMEN LÚCIA"
"92",652,"ALEXANDRE DE MORAES"
"93",653,"GILMAR MENDES"
"94",654,"MARCO AURÉLIO"
"95",655,"CÁRMEN LÚCIA"
"96",656,"RICARDO LEWANDOWSKI"
"97",657,"RICARDO LEWANDOWSKI"
"98",658,"RICARDO LEWANDOWSKI"
"99",659,"ROSA WEBER"
"100",660,"GILMAR MENDES"
"101",661,"ALEXANDRE DE MORAES"
"102",662,"GILMAR MENDES"
"103",663,"ALEXANDRE DE MORAES"
"104",664,"ALEXANDRE DE MORAES"
"105",665,"DIAS TOFFOLI"
"106",666,"ROSA WEBER"
"107",667,"GILMAR MENDES"
"108",668,"ROBERTO BARROSO"
"109",669,"ROBERTO BARROSO"
"110",670,"MARCO AURÉLIO"
"111",671,"RICARDO LEWANDOWSKI"
"112",672,"ALEXANDRE DE MORAES"
"113",673,"DIAS TOFFOLI"
"114",674,"RICARDO LEWANDOWSKI"
"115",675,"CELSO DE MELLO"
"116",676,"ALEXANDRE DE MORAES"
"117",677,"RICARDO LEWANDOWSKI"
"118",678,"MARCO AURÉLIO"
"119",679,"LUIZ FUX"
"120",680,"ANDRÉ MENDONÇA"
"121",681,"ALEXANDRE DE MORAES"
"122",682,"RICARDO LEWANDOWSKI"
"123",683,"ALEXANDRE DE MORAES"
"124",684,"NUNES MARQUES"
"125",685,"CÁRMEN LÚCIA"
"126",686,"ROSA WEBER"
"127",687,"LUIZ FUX"
"128",688,"MARCO AURÉLIO"
"129",689,"GILMAR MENDES"
"130",690,"ALEXANDRE DE MORAES"
"131",691,"ALEXANDRE DE MORAES"
"132",692,"ALEXANDRE DE MORAES"
"133",693,"ROBERTO BARROSO"
"134",694,"ALEXANDRE DE MORAES"
"135",695,"GILMAR MENDES"
"136",696,"MARCO AURÉLIO"
"137",697,"CÁRMEN LÚCIA"
"138",698,"GILMAR MENDES"
"139",699,"GILMAR MENDES"
"140",700,"GILMAR MENDES"
"141",701,"NUNES MARQUES"
"142",702,"NUNES MARQUES"
"143",703,"ALEXANDRE DE MORAES"
"144",704,"EDSON FACHIN"
"145",705,"EDSON FACHIN"
"146",706,"ROSA WEBER"
"147",707,"NUNES MARQUES"
"148",708,"ROBERTO BARROSO"
"149",709,"ROBERTO BARROSO"
"150",710,"MARCO AURÉLIO"
"151",711,"ROSA WEBER"
"152",712,"NUNES MARQUES"
"153",713,"ROSA WEBER"
"154",714,"GILMAR MENDES"
"155",715,"GILMAR MENDES"
"156",716,"MARCO AURÉLIO"
"157",717,"DIAS TOFFOLI"
"158",718,"GILMAR MENDES"
"159",719,"EDSON FACHIN"
"160",720,"RICARDO LEWANDOWSKI"
"161",721,"EDSON FACHIN"
"162",722,"CÁRMEN LÚCIA"
"163",723,"EDSON FACHIN"
"164",724,"MARCO AURÉLIO"
"165",725,"ALEXANDRE DE MORAES"
"166",726,"CÁRMEN LÚCIA"
"167",727,"NUNES MARQUES"
"168",728,"NUNES MARQUES"
"169",729,"CÁRMEN LÚCIA"
"170",730,"GILMAR MENDES"
"171",731,"CÁRMEN LÚCIA"
"172",732,"RICARDO LEWANDOWSKI"
"173",733,"GILMAR MENDES"
"174",734,"DIAS TOFFOLI"
"175",735,"CÁRMEN LÚCIA"
"176",736,"ROSA WEBER"
"177",737,"RICARDO LEWANDOWSKI"
"178",738,"RICARDO LEWANDOWSKI"
"179",739,"CÁRMEN LÚCIA"
"180",740,"ROSA WEBER"
"181",741,"MARCO AURÉLIO"
"182",742,"MARCO AURÉLIO"
"183",743,"ANDRÉ MENDONÇA"
"184",744,"DIAS TOFFOLI"
"185",745,"CÁRMEN LÚCIA"
"186",746,"ANDRÉ MENDONÇA"
"187",747,"ROSA WEBER"
"188",748,"ROSA WEBER"
"189",749,"ROSA WEBER"
"190",750,"CÁRMEN LÚCIA"
"191",751,"DIAS TOFFOLI"
"192",752,"GILMAR MENDES"
"193",753,"RICARDO LEWANDOWSKI"
"194",754,"RICARDO LEWANDOWSKI"
"195",755,"LUIZ FUX"
"196",756,"RICARDO LEWANDOWSKI"
"197",757,"CÁRMEN LÚCIA"
"198",758,"GILMAR MENDES"
"199",759,"EDSON FACHIN"
"200",760,"CÁRMEN LÚCIA"
"201",761,"NUNES MARQUES"
"202",762,"ANDRÉ MENDONÇA"
"203",763,"ANDRÉ MENDONÇA"
"204",764,"GILMAR MENDES"
"205",765,"CÁRMEN LÚCIA"
"206",766,"NUNES MARQUES"
"207",767,"NUNES MARQUES"
"208",768,"DIAS TOFFOLI"
"209",769,"MARCO AURÉLIO"
"210",770,"RICARDO LEWANDOWSKI"
"211",771,"ALEXANDRE DE MORAES"
"212",772,"EDSON FACHIN"
"213",773,"RICARDO LEWANDOWSKI"
"214",774,"ANDRÉ MENDONÇA"
"215",775,"NUNES MARQUES"
"216",776,"GILMAR MENDES"
"217",777,"CÁRMEN LÚCIA"
"218",778,"CÁRMEN LÚCIA"
"219",779,"DIAS TOFFOLI"
"220",780,"DIAS TOFFOLI"
"221",781,"EDSON FACHIN"
"222",782,"ROSA WEBER"
"223",783,"DIAS TOFFOLI"
"224",784,"MARCO AURÉLIO"
"225",785,"RICARDO LEWANDOWSKI"
"226",786,"ALEXANDRE DE MORAES"
"227",787,"GILMAR MENDES"
"228",788,"RICARDO LEWANDOWSKI"
"229",789,"ROBERTO BARROSO"
"230",790,"MARCO AURÉLIO"
"231",791,"ALEXANDRE DE MORAES"
"232",792,"ALEXANDRE DE MORAES"
"233",793,"ROSA WEBER"
"234",794,"GILMAR MENDES"
"235",795,"NUNES MARQUES"
"236",796,"RICARDO LEWANDOWSKI"
"237",797,"GILMAR MENDES"
"238",798,"NUNES MARQUES"
"239",799,"GILMAR MENDES"
"240",800,"RICARDO LEWANDOWSKI"
"241",801,"DIAS TOFFOLI"
"242",802,"NUNES MARQUES"
"243",803,"ALEXANDRE DE MORAES"
"244",804,"ALEXANDRE DE MORAES"
"245",805,"ROBERTO BARROSO"
"246",806,"MARCO AURÉLIO"
"247",807,"NUNES MARQUES"
"248",808,"MARCO AURÉLIO"
"249",809,"NUNES MARQUES"
"250",810,"GILMAR MENDES"
"251",811,"GILMAR MENDES"
"252",812,"RICARDO LEWANDOWSKI"
"253",813,"RICARDO LEWANDOWSKI"
"254",814,"GILMAR MENDES"
"255",815,"GILMAR MENDES"
"256",816,"GILMAR MENDES"
"257",817,"LUIZ FUX"
"258",818,"ROBERTO BARROSO"
"259",819,"ROBERTO BARROSO"
"260",820,"NUNES MARQUES"
"261",821,"GILMAR MENDES"
